"HMDB.ID","Sub_Class","Class"
"HMDB00323","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00324","Androstane steroids","Steroids and steroid derivatives"
"HMDB00325","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00326","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00328","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00329","Phenylpropanes","Benzene and substituted derivatives"
"HMDB00330","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00331","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00332","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00333","Methoxyphenols","Phenols"
"HMDB00335","Estrane steroids","Steroids and steroid derivatives"
"HMDB00336","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00337","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00338","Estrane steroids","Steroids and steroid derivatives"
"HMDB00339","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00340","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00341","Fatty acids and conjugates","Fatty Acyls"
"HMDB00343","Estrane steroids","Steroids and steroid derivatives"
"HMDB00344","Estrane steroids","Steroids and steroid derivatives"
"HMDB00345","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00346","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00347","Estrane steroids","Steroids and steroid derivatives"
"HMDB00348","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00349","Gamma butyrolactones","Lactones"
"HMDB00350","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00351","Fatty acids and conjugates","Fatty Acyls"
"HMDB00352","Androstane steroids","Steroids and steroid derivatives"
"HMDB00353","Pregnane steroids","Steroids and steroid derivatives"
"HMDB00354","Fatty acids and conjugates","Fatty Acyls"
"HMDB00355","Fatty acids and conjugates","Fatty Acyls"
"HMDB00356","Estrane steroids","Steroids and steroid derivatives"
"HMDB00357","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00359","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00360","Short-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00361","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00362","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00363","Pregnane steroids","Steroids and steroid derivatives"
"HMDB00364","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00365","Androstane steroids","Steroids and steroid derivatives"
"HMDB00366","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00367","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00368","Fatty acids and conjugates","Fatty Acyls"
"HMDB00369","Androstane steroids","Steroids and steroid derivatives"
"HMDB00370","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00371","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00372","Estrane steroids","Steroids and steroid derivatives"
"HMDB00374","Pregnane steroids","Steroids and steroid derivatives"
"HMDB00375","","Phenylpropanoic acids"
"HMDB00376","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00377","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00378","Fatty acid esters","Fatty Acyls"
"HMDB00379","Tricarboxylic acids and derivatives","Carboxylic acids and derivatives"
"HMDB00380","Estrane steroids","Steroids and steroid derivatives"
"HMDB00381","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00383","Androstane steroids","Steroids and steroid derivatives"
"HMDB00384","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00385","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00386","Sulfated steroids","Steroids and steroid derivatives"
"HMDB00387","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00388","Androstane steroids","Steroids and steroid derivatives"
"HMDB00389","Pterins and derivatives","Pteridines and derivatives"
"HMDB00390","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00391","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00392","Fatty acids and conjugates","Fatty Acyls"
