"HMDB.ID","Sub_Class","Class"
"HMDB44903","Triradylcglycerols","Glycerolipids"
"HMDB44904","Triradylcglycerols","Glycerolipids"
"HMDB44905","Triradylcglycerols","Glycerolipids"
"HMDB44906","Triradylcglycerols","Glycerolipids"
"HMDB44907","Triradylcglycerols","Glycerolipids"
"HMDB44908","Triradylcglycerols","Glycerolipids"
"HMDB44909","Triradylcglycerols","Glycerolipids"
"HMDB44910","Triradylcglycerols","Glycerolipids"
"HMDB44911","Triradylcglycerols","Glycerolipids"
"HMDB44912","Triradylcglycerols","Glycerolipids"
"HMDB44913","Triradylcglycerols","Glycerolipids"
"HMDB44914","Triradylcglycerols","Glycerolipids"
"HMDB44915","Triradylcglycerols","Glycerolipids"
"HMDB44916","Triradylcglycerols","Glycerolipids"
"HMDB44917","Triradylcglycerols","Glycerolipids"
"HMDB44918","Triradylcglycerols","Glycerolipids"
"HMDB44919","Triradylcglycerols","Glycerolipids"
"HMDB44920","Triradylcglycerols","Glycerolipids"
"HMDB44921","Triradylcglycerols","Glycerolipids"
"HMDB44922","Triradylcglycerols","Glycerolipids"
"HMDB44923","Triradylcglycerols","Glycerolipids"
"HMDB44924","Triradylcglycerols","Glycerolipids"
"HMDB44925","Triradylcglycerols","Glycerolipids"
"HMDB44926","Triradylcglycerols","Glycerolipids"
"HMDB44927","Triradylcglycerols","Glycerolipids"
"HMDB44928","Triradylcglycerols","Glycerolipids"
"HMDB44929","Triradylcglycerols","Glycerolipids"
"HMDB44930","Triradylcglycerols","Glycerolipids"
"HMDB44931","Triradylcglycerols","Glycerolipids"
"HMDB44932","Triradylcglycerols","Glycerolipids"
"HMDB44933","Triradylcglycerols","Glycerolipids"
"HMDB44934","Triradylcglycerols","Glycerolipids"
"HMDB44935","Triradylcglycerols","Glycerolipids"
"HMDB44936","Triradylcglycerols","Glycerolipids"
"HMDB44937","Triradylcglycerols","Glycerolipids"
"HMDB44938","Triradylcglycerols","Glycerolipids"
"HMDB44940","Triradylcglycerols","Glycerolipids"
"HMDB44941","Triradylcglycerols","Glycerolipids"
"HMDB44942","Triradylcglycerols","Glycerolipids"
"HMDB44943","Triradylcglycerols","Glycerolipids"
"HMDB44944","Triradylcglycerols","Glycerolipids"
"HMDB44947","Triradylcglycerols","Glycerolipids"
"HMDB44948","Triradylcglycerols","Glycerolipids"
"HMDB44949","Triradylcglycerols","Glycerolipids"
"HMDB44951","Triradylcglycerols","Glycerolipids"
"HMDB44952","Triradylcglycerols","Glycerolipids"
"HMDB44953","Triradylcglycerols","Glycerolipids"
"HMDB44955","Triradylcglycerols","Glycerolipids"
"HMDB44956","Triradylcglycerols","Glycerolipids"
"HMDB44957","Triradylcglycerols","Glycerolipids"
"HMDB44958","Triradylcglycerols","Glycerolipids"
"HMDB44959","Triradylcglycerols","Glycerolipids"
"HMDB44960","Triradylcglycerols","Glycerolipids"
"HMDB44961","Triradylcglycerols","Glycerolipids"
"HMDB44962","Triradylcglycerols","Glycerolipids"
"HMDB44963","Triradylcglycerols","Glycerolipids"
"HMDB44964","Triradylcglycerols","Glycerolipids"
"HMDB44965","Triradylcglycerols","Glycerolipids"
"HMDB44966","Triradylcglycerols","Glycerolipids"
"HMDB44967","Triradylcglycerols","Glycerolipids"
"HMDB44968","Triradylcglycerols","Glycerolipids"
"HMDB44969","Triradylcglycerols","Glycerolipids"
"HMDB44970","Triradylcglycerols","Glycerolipids"
"HMDB44971","Triradylcglycerols","Glycerolipids"
"HMDB44972","Triradylcglycerols","Glycerolipids"
"HMDB44974","Triradylcglycerols","Glycerolipids"
"HMDB44975","Triradylcglycerols","Glycerolipids"
"HMDB44976","Triradylcglycerols","Glycerolipids"
"HMDB44977","Triradylcglycerols","Glycerolipids"
"HMDB44978","Triradylcglycerols","Glycerolipids"
"HMDB44979","Triradylcglycerols","Glycerolipids"
"HMDB44980","Triradylcglycerols","Glycerolipids"
"HMDB44982","Triradylcglycerols","Glycerolipids"
"HMDB44983","Triradylcglycerols","Glycerolipids"
"HMDB44984","Triradylcglycerols","Glycerolipids"
"HMDB44985","Triradylcglycerols","Glycerolipids"
"HMDB44986","Triradylcglycerols","Glycerolipids"
"HMDB44987","Triradylcglycerols","Glycerolipids"
"HMDB44988","Triradylcglycerols","Glycerolipids"
"HMDB44989","Triradylcglycerols","Glycerolipids"
"HMDB44990","Triradylcglycerols","Glycerolipids"
"HMDB44991","Triradylcglycerols","Glycerolipids"
"HMDB44992","Triradylcglycerols","Glycerolipids"
"HMDB44993","Triradylcglycerols","Glycerolipids"
"HMDB44994","Triradylcglycerols","Glycerolipids"
"HMDB44995","Triradylcglycerols","Glycerolipids"
"HMDB44996","Triradylcglycerols","Glycerolipids"
"HMDB44997","Triradylcglycerols","Glycerolipids"
"HMDB44998","Triradylcglycerols","Glycerolipids"
"HMDB44999","Triradylcglycerols","Glycerolipids"
"HMDB45000","Triradylcglycerols","Glycerolipids"
"HMDB45001","Triradylcglycerols","Glycerolipids"
"HMDB45002","Triradylcglycerols","Glycerolipids"
"HMDB45003","Triradylcglycerols","Glycerolipids"
"HMDB45004","Triradylcglycerols","Glycerolipids"
"HMDB45005","Triradylcglycerols","Glycerolipids"
"HMDB45006","Triradylcglycerols","Glycerolipids"
"HMDB45007","Triradylcglycerols","Glycerolipids"
"HMDB45008","Triradylcglycerols","Glycerolipids"
"HMDB45009","Triradylcglycerols","Glycerolipids"
"HMDB45010","Triradylcglycerols","Glycerolipids"
"HMDB45011","Triradylcglycerols","Glycerolipids"
"HMDB45012","Triradylcglycerols","Glycerolipids"
"HMDB45013","Triradylcglycerols","Glycerolipids"
"HMDB45014","Triradylcglycerols","Glycerolipids"
"HMDB45015","Triradylcglycerols","Glycerolipids"
"HMDB45016","Triradylcglycerols","Glycerolipids"
"HMDB45017","Triradylcglycerols","Glycerolipids"
"HMDB45018","Triradylcglycerols","Glycerolipids"
"HMDB45019","Triradylcglycerols","Glycerolipids"
"HMDB45020","Triradylcglycerols","Glycerolipids"
"HMDB45021","Triradylcglycerols","Glycerolipids"
"HMDB45022","Triradylcglycerols","Glycerolipids"
"HMDB45023","Triradylcglycerols","Glycerolipids"
"HMDB45024","Triradylcglycerols","Glycerolipids"
"HMDB45025","Triradylcglycerols","Glycerolipids"
"HMDB45026","Triradylcglycerols","Glycerolipids"
"HMDB45027","Triradylcglycerols","Glycerolipids"
"HMDB45028","Triradylcglycerols","Glycerolipids"
"HMDB45029","Triradylcglycerols","Glycerolipids"
"HMDB45030","Triradylcglycerols","Glycerolipids"
"HMDB45031","Triradylcglycerols","Glycerolipids"
"HMDB45032","Triradylcglycerols","Glycerolipids"
"HMDB45033","Triradylcglycerols","Glycerolipids"
"HMDB45034","Triradylcglycerols","Glycerolipids"
"HMDB45035","Triradylcglycerols","Glycerolipids"
"HMDB45036","Triradylcglycerols","Glycerolipids"
"HMDB45037","Triradylcglycerols","Glycerolipids"
"HMDB45038","Triradylcglycerols","Glycerolipids"
"HMDB45039","Triradylcglycerols","Glycerolipids"
"HMDB45040","Triradylcglycerols","Glycerolipids"
"HMDB45041","Triradylcglycerols","Glycerolipids"
"HMDB45042","Triradylcglycerols","Glycerolipids"
"HMDB45043","Triradylcglycerols","Glycerolipids"
"HMDB45044","Triradylcglycerols","Glycerolipids"
"HMDB45045","Triradylcglycerols","Glycerolipids"
"HMDB45046","Triradylcglycerols","Glycerolipids"
"HMDB45047","Triradylcglycerols","Glycerolipids"
"HMDB45048","Triradylcglycerols","Glycerolipids"
"HMDB45049","Triradylcglycerols","Glycerolipids"
"HMDB45050","Triradylcglycerols","Glycerolipids"
"HMDB45051","Triradylcglycerols","Glycerolipids"
"HMDB45052","Triradylcglycerols","Glycerolipids"
"HMDB45053","Triradylcglycerols","Glycerolipids"
"HMDB45054","Triradylcglycerols","Glycerolipids"
"HMDB45055","Triradylcglycerols","Glycerolipids"
"HMDB45056","Triradylcglycerols","Glycerolipids"
"HMDB45057","Triradylcglycerols","Glycerolipids"
"HMDB45058","Triradylcglycerols","Glycerolipids"
"HMDB45059","Triradylcglycerols","Glycerolipids"
"HMDB45060","Triradylcglycerols","Glycerolipids"
"HMDB45061","Triradylcglycerols","Glycerolipids"
"HMDB45062","Triradylcglycerols","Glycerolipids"
"HMDB45063","Triradylcglycerols","Glycerolipids"
"HMDB45064","Triradylcglycerols","Glycerolipids"
"HMDB45065","Triradylcglycerols","Glycerolipids"
"HMDB45066","Triradylcglycerols","Glycerolipids"
"HMDB45067","Triradylcglycerols","Glycerolipids"
"HMDB45068","Triradylcglycerols","Glycerolipids"
"HMDB45069","Triradylcglycerols","Glycerolipids"
"HMDB45070","Triradylcglycerols","Glycerolipids"
"HMDB45071","Triradylcglycerols","Glycerolipids"
"HMDB45072","Triradylcglycerols","Glycerolipids"
"HMDB45073","Triradylcglycerols","Glycerolipids"
"HMDB45075","Triradylcglycerols","Glycerolipids"
"HMDB45076","Triradylcglycerols","Glycerolipids"
"HMDB45077","Triradylcglycerols","Glycerolipids"
"HMDB45078","Triradylcglycerols","Glycerolipids"
"HMDB45079","Triradylcglycerols","Glycerolipids"
"HMDB45080","Triradylcglycerols","Glycerolipids"
"HMDB45082","Triradylcglycerols","Glycerolipids"
"HMDB45083","Triradylcglycerols","Glycerolipids"
"HMDB45084","Triradylcglycerols","Glycerolipids"
"HMDB45086","Triradylcglycerols","Glycerolipids"
"HMDB45087","Triradylcglycerols","Glycerolipids"
"HMDB45088","Triradylcglycerols","Glycerolipids"
"HMDB45090","Triradylcglycerols","Glycerolipids"
"HMDB45091","Triradylcglycerols","Glycerolipids"
"HMDB45092","Triradylcglycerols","Glycerolipids"
"HMDB45093","Triradylcglycerols","Glycerolipids"
"HMDB45094","Triradylcglycerols","Glycerolipids"
"HMDB45095","Triradylcglycerols","Glycerolipids"
"HMDB45096","Triradylcglycerols","Glycerolipids"
"HMDB45097","Triradylcglycerols","Glycerolipids"
"HMDB45098","Triradylcglycerols","Glycerolipids"
"HMDB45099","Lineolic acids and derivatives","Fatty Acyls"
"HMDB45100","Triradylcglycerols","Glycerolipids"
"HMDB45101","Triradylcglycerols","Glycerolipids"
"HMDB45102","Triradylcglycerols","Glycerolipids"
"HMDB45103","Triradylcglycerols","Glycerolipids"
"HMDB45104","Triradylcglycerols","Glycerolipids"
"HMDB45105","Triradylcglycerols","Glycerolipids"
"HMDB45106","Triradylcglycerols","Glycerolipids"
"HMDB45107","Triradylcglycerols","Glycerolipids"
"HMDB45108","Triradylcglycerols","Glycerolipids"
"HMDB45109","Triradylcglycerols","Glycerolipids"
"HMDB45110","Triradylcglycerols","Glycerolipids"
"HMDB45111","Triradylcglycerols","Glycerolipids"
"HMDB45112","Triradylcglycerols","Glycerolipids"
"HMDB45113","Triradylcglycerols","Glycerolipids"
"HMDB45114","Triradylcglycerols","Glycerolipids"
"HMDB45115","Triradylcglycerols","Glycerolipids"
"HMDB45116","Triradylcglycerols","Glycerolipids"
"HMDB45117","Triradylcglycerols","Glycerolipids"
"HMDB45118","Triradylcglycerols","Glycerolipids"
"HMDB45119","Triradylcglycerols","Glycerolipids"
"HMDB45120","Triradylcglycerols","Glycerolipids"
"HMDB45121","Triradylcglycerols","Glycerolipids"
"HMDB45122","Triradylcglycerols","Glycerolipids"
"HMDB45123","Triradylcglycerols","Glycerolipids"
"HMDB45124","Triradylcglycerols","Glycerolipids"
"HMDB45125","Triradylcglycerols","Glycerolipids"
"HMDB45126","Lineolic acids and derivatives","Fatty Acyls"
"HMDB45127","Triradylcglycerols","Glycerolipids"
"HMDB45128","Triradylcglycerols","Glycerolipids"
"HMDB45129","Triradylcglycerols","Glycerolipids"
"HMDB45130","Triradylcglycerols","Glycerolipids"
"HMDB45131","Triradylcglycerols","Glycerolipids"
"HMDB45132","Triradylcglycerols","Glycerolipids"
"HMDB45133","Triradylcglycerols","Glycerolipids"
"HMDB45134","Triradylcglycerols","Glycerolipids"
"HMDB45135","Triradylcglycerols","Glycerolipids"
"HMDB45136","Triradylcglycerols","Glycerolipids"
"HMDB45137","Triradylcglycerols","Glycerolipids"
"HMDB45138","Triradylcglycerols","Glycerolipids"
"HMDB45139","Triradylcglycerols","Glycerolipids"
"HMDB45140","Triradylcglycerols","Glycerolipids"
"HMDB45141","Triradylcglycerols","Glycerolipids"
"HMDB45142","Triradylcglycerols","Glycerolipids"
"HMDB45143","Triradylcglycerols","Glycerolipids"
"HMDB45144","Triradylcglycerols","Glycerolipids"
"HMDB45145","Triradylcglycerols","Glycerolipids"
"HMDB45146","Triradylcglycerols","Glycerolipids"
"HMDB45147","Triradylcglycerols","Glycerolipids"
"HMDB45148","Triradylcglycerols","Glycerolipids"
"HMDB45149","Triradylcglycerols","Glycerolipids"
"HMDB45150","Triradylcglycerols","Glycerolipids"
"HMDB45151","Triradylcglycerols","Glycerolipids"
"HMDB45152","Triradylcglycerols","Glycerolipids"
"HMDB45153","Triradylcglycerols","Glycerolipids"
"HMDB45154","Triradylcglycerols","Glycerolipids"
"HMDB45155","Triradylcglycerols","Glycerolipids"
"HMDB45156","Triradylcglycerols","Glycerolipids"
"HMDB45157","Triradylcglycerols","Glycerolipids"
"HMDB45158","Triradylcglycerols","Glycerolipids"
"HMDB45159","Triradylcglycerols","Glycerolipids"
"HMDB45160","Triradylcglycerols","Glycerolipids"
"HMDB45161","Triradylcglycerols","Glycerolipids"
"HMDB45162","Triradylcglycerols","Glycerolipids"
"HMDB45163","Triradylcglycerols","Glycerolipids"
"HMDB45164","Triradylcglycerols","Glycerolipids"
"HMDB45165","Triradylcglycerols","Glycerolipids"
"HMDB45166","Triradylcglycerols","Glycerolipids"
"HMDB45167","Triradylcglycerols","Glycerolipids"
"HMDB45168","Triradylcglycerols","Glycerolipids"
"HMDB45169","Triradylcglycerols","Glycerolipids"
"HMDB45170","Triradylcglycerols","Glycerolipids"
"HMDB45171","Triradylcglycerols","Glycerolipids"
"HMDB45172","Triradylcglycerols","Glycerolipids"
"HMDB45173","Triradylcglycerols","Glycerolipids"
"HMDB45174","Triradylcglycerols","Glycerolipids"
"HMDB45175","Triradylcglycerols","Glycerolipids"
"HMDB45176","Triradylcglycerols","Glycerolipids"
"HMDB45177","Triradylcglycerols","Glycerolipids"
"HMDB45178","Triradylcglycerols","Glycerolipids"
"HMDB45179","Triradylcglycerols","Glycerolipids"
"HMDB45180","Triradylcglycerols","Glycerolipids"
"HMDB45181","Triradylcglycerols","Glycerolipids"
"HMDB45182","Triradylcglycerols","Glycerolipids"
"HMDB45183","Triradylcglycerols","Glycerolipids"
"HMDB45184","Triradylcglycerols","Glycerolipids"
"HMDB45185","Triradylcglycerols","Glycerolipids"
"HMDB45186","Triradylcglycerols","Glycerolipids"
"HMDB45187","Triradylcglycerols","Glycerolipids"
"HMDB45188","Triradylcglycerols","Glycerolipids"
"HMDB45189","Triradylcglycerols","Glycerolipids"
"HMDB45190","Triradylcglycerols","Glycerolipids"
"HMDB45191","Triradylcglycerols","Glycerolipids"
"HMDB45192","Triradylcglycerols","Glycerolipids"
"HMDB45193","Triradylcglycerols","Glycerolipids"
"HMDB45194","Triradylcglycerols","Glycerolipids"
"HMDB45195","Triradylcglycerols","Glycerolipids"
"HMDB45196","Triradylcglycerols","Glycerolipids"
"HMDB45198","Triradylcglycerols","Glycerolipids"
"HMDB45199","Triradylcglycerols","Glycerolipids"
"HMDB45200","Triradylcglycerols","Glycerolipids"
"HMDB45201","Triradylcglycerols","Glycerolipids"
"HMDB45202","Triradylcglycerols","Glycerolipids"
"HMDB45203","Triradylcglycerols","Glycerolipids"
"HMDB45204","Triradylcglycerols","Glycerolipids"
"HMDB45205","Triradylcglycerols","Glycerolipids"
"HMDB45206","Triradylcglycerols","Glycerolipids"
"HMDB45207","Triradylcglycerols","Glycerolipids"
"HMDB45208","Triradylcglycerols","Glycerolipids"
"HMDB45209","Triradylcglycerols","Glycerolipids"
"HMDB45210","Triradylcglycerols","Glycerolipids"
"HMDB45211","Triradylcglycerols","Glycerolipids"
"HMDB45212","Triradylcglycerols","Glycerolipids"
"HMDB45213","Triradylcglycerols","Glycerolipids"
"HMDB45214","Triradylcglycerols","Glycerolipids"
"HMDB45215","Triradylcglycerols","Glycerolipids"
"HMDB45216","Triradylcglycerols","Glycerolipids"
"HMDB45217","Triradylcglycerols","Glycerolipids"
"HMDB45218","Triradylcglycerols","Glycerolipids"
"HMDB45219","Triradylcglycerols","Glycerolipids"
"HMDB45220","Triradylcglycerols","Glycerolipids"
"HMDB45221","Triradylcglycerols","Glycerolipids"
"HMDB45222","Triradylcglycerols","Glycerolipids"
"HMDB45223","Triradylcglycerols","Glycerolipids"
"HMDB45224","Triradylcglycerols","Glycerolipids"
"HMDB45225","Triradylcglycerols","Glycerolipids"
"HMDB45226","Triradylcglycerols","Glycerolipids"
"HMDB45227","Triradylcglycerols","Glycerolipids"
"HMDB45228","Triradylcglycerols","Glycerolipids"
"HMDB45229","Triradylcglycerols","Glycerolipids"
"HMDB45230","Triradylcglycerols","Glycerolipids"
"HMDB45231","Triradylcglycerols","Glycerolipids"
"HMDB45232","Triradylcglycerols","Glycerolipids"
"HMDB45233","Triradylcglycerols","Glycerolipids"
"HMDB45234","Triradylcglycerols","Glycerolipids"
"HMDB45235","Triradylcglycerols","Glycerolipids"
"HMDB45236","Triradylcglycerols","Glycerolipids"
"HMDB45237","Triradylcglycerols","Glycerolipids"
"HMDB45238","Triradylcglycerols","Glycerolipids"
"HMDB45239","Triradylcglycerols","Glycerolipids"
"HMDB45240","Triradylcglycerols","Glycerolipids"
"HMDB45241","Triradylcglycerols","Glycerolipids"
"HMDB45242","Triradylcglycerols","Glycerolipids"
"HMDB45243","Triradylcglycerols","Glycerolipids"
"HMDB45244","Triradylcglycerols","Glycerolipids"
"HMDB45245","Triradylcglycerols","Glycerolipids"
"HMDB45246","Triradylcglycerols","Glycerolipids"
"HMDB45247","Triradylcglycerols","Glycerolipids"
"HMDB45248","Triradylcglycerols","Glycerolipids"
"HMDB45249","Triradylcglycerols","Glycerolipids"
"HMDB45250","Triradylcglycerols","Glycerolipids"
"HMDB45251","Triradylcglycerols","Glycerolipids"
"HMDB45252","Triradylcglycerols","Glycerolipids"
"HMDB45253","Triradylcglycerols","Glycerolipids"
"HMDB45254","Triradylcglycerols","Glycerolipids"
"HMDB45255","Triradylcglycerols","Glycerolipids"
"HMDB45256","Triradylcglycerols","Glycerolipids"
"HMDB45257","Triradylcglycerols","Glycerolipids"
"HMDB45258","Triradylcglycerols","Glycerolipids"
"HMDB45259","Triradylcglycerols","Glycerolipids"
"HMDB45260","Triradylcglycerols","Glycerolipids"
"HMDB45261","Triradylcglycerols","Glycerolipids"
"HMDB45262","Triradylcglycerols","Glycerolipids"
"HMDB45263","Triradylcglycerols","Glycerolipids"
"HMDB45264","Triradylcglycerols","Glycerolipids"
"HMDB45265","Triradylcglycerols","Glycerolipids"
"HMDB45266","Triradylcglycerols","Glycerolipids"
"HMDB45267","Triradylcglycerols","Glycerolipids"
"HMDB45268","Triradylcglycerols","Glycerolipids"
"HMDB45269","Triradylcglycerols","Glycerolipids"
"HMDB45270","Triradylcglycerols","Glycerolipids"
"HMDB45271","Triradylcglycerols","Glycerolipids"
"HMDB45272","Triradylcglycerols","Glycerolipids"
"HMDB45273","Triradylcglycerols","Glycerolipids"
"HMDB45274","Triradylcglycerols","Glycerolipids"
"HMDB45275","Triradylcglycerols","Glycerolipids"
"HMDB45276","Triradylcglycerols","Glycerolipids"
"HMDB45277","Triradylcglycerols","Glycerolipids"
"HMDB45278","Triradylcglycerols","Glycerolipids"
"HMDB45279","Triradylcglycerols","Glycerolipids"
"HMDB45280","Triradylcglycerols","Glycerolipids"
"HMDB45281","Triradylcglycerols","Glycerolipids"
"HMDB45282","Triradylcglycerols","Glycerolipids"
"HMDB45283","Triradylcglycerols","Glycerolipids"
"HMDB45284","Triradylcglycerols","Glycerolipids"
"HMDB45285","Triradylcglycerols","Glycerolipids"
"HMDB45286","Triradylcglycerols","Glycerolipids"
"HMDB45287","Triradylcglycerols","Glycerolipids"
"HMDB45288","Triradylcglycerols","Glycerolipids"
"HMDB45289","Triradylcglycerols","Glycerolipids"
"HMDB45290","Triradylcglycerols","Glycerolipids"
"HMDB45291","Triradylcglycerols","Glycerolipids"
"HMDB45292","Triradylcglycerols","Glycerolipids"
"HMDB45293","Triradylcglycerols","Glycerolipids"
"HMDB45294","Triradylcglycerols","Glycerolipids"
"HMDB45295","Triradylcglycerols","Glycerolipids"
"HMDB45296","Triradylcglycerols","Glycerolipids"
"HMDB45297","Triradylcglycerols","Glycerolipids"
"HMDB45298","Triradylcglycerols","Glycerolipids"
"HMDB45299","Triradylcglycerols","Glycerolipids"
"HMDB45300","Triradylcglycerols","Glycerolipids"
"HMDB45301","Triradylcglycerols","Glycerolipids"
"HMDB45302","Triradylcglycerols","Glycerolipids"
"HMDB45303","Triradylcglycerols","Glycerolipids"
"HMDB45304","Triradylcglycerols","Glycerolipids"
"HMDB45305","Triradylcglycerols","Glycerolipids"
"HMDB45306","Triradylcglycerols","Glycerolipids"
"HMDB45307","Triradylcglycerols","Glycerolipids"
"HMDB45308","Triradylcglycerols","Glycerolipids"
"HMDB45309","Triradylcglycerols","Glycerolipids"
"HMDB45310","Triradylcglycerols","Glycerolipids"
"HMDB45311","Triradylcglycerols","Glycerolipids"
"HMDB45312","Triradylcglycerols","Glycerolipids"
"HMDB45313","Triradylcglycerols","Glycerolipids"
"HMDB45314","Triradylcglycerols","Glycerolipids"
"HMDB45315","Lineolic acids and derivatives","Fatty Acyls"
"HMDB45316","Triradylcglycerols","Glycerolipids"
"HMDB45317","Triradylcglycerols","Glycerolipids"
"HMDB45318","Triradylcglycerols","Glycerolipids"
"HMDB45319","Triradylcglycerols","Glycerolipids"
"HMDB45320","Triradylcglycerols","Glycerolipids"
"HMDB45321","Triradylcglycerols","Glycerolipids"
"HMDB45322","Triradylcglycerols","Glycerolipids"
"HMDB45323","Triradylcglycerols","Glycerolipids"
"HMDB45324","Triradylcglycerols","Glycerolipids"
"HMDB45325","Triradylcglycerols","Glycerolipids"
"HMDB45326","Triradylcglycerols","Glycerolipids"
"HMDB45327","Triradylcglycerols","Glycerolipids"
"HMDB45328","Triradylcglycerols","Glycerolipids"
"HMDB45329","Triradylcglycerols","Glycerolipids"
"HMDB45330","Triradylcglycerols","Glycerolipids"
"HMDB45331","Triradylcglycerols","Glycerolipids"
"HMDB45332","Triradylcglycerols","Glycerolipids"
"HMDB45333","Triradylcglycerols","Glycerolipids"
"HMDB45334","Triradylcglycerols","Glycerolipids"
"HMDB45335","Triradylcglycerols","Glycerolipids"
"HMDB45336","Triradylcglycerols","Glycerolipids"
"HMDB45337","Triradylcglycerols","Glycerolipids"
"HMDB45338","Triradylcglycerols","Glycerolipids"
"HMDB45339","Triradylcglycerols","Glycerolipids"
"HMDB45340","Triradylcglycerols","Glycerolipids"
"HMDB45341","Triradylcglycerols","Glycerolipids"
"HMDB45342","Lineolic acids and derivatives","Fatty Acyls"
"HMDB45343","Triradylcglycerols","Glycerolipids"
"HMDB45344","Triradylcglycerols","Glycerolipids"
"HMDB45345","Triradylcglycerols","Glycerolipids"
"HMDB45346","Triradylcglycerols","Glycerolipids"
"HMDB45347","Triradylcglycerols","Glycerolipids"
"HMDB45348","Triradylcglycerols","Glycerolipids"
"HMDB45349","Triradylcglycerols","Glycerolipids"
"HMDB45350","Triradylcglycerols","Glycerolipids"
"HMDB45351","Triradylcglycerols","Glycerolipids"
"HMDB45352","Triradylcglycerols","Glycerolipids"
"HMDB45353","Triradylcglycerols","Glycerolipids"
"HMDB45354","Triradylcglycerols","Glycerolipids"
"HMDB45355","Triradylcglycerols","Glycerolipids"
"HMDB45356","Triradylcglycerols","Glycerolipids"
"HMDB45357","Triradylcglycerols","Glycerolipids"
"HMDB45358","Triradylcglycerols","Glycerolipids"
"HMDB45359","Triradylcglycerols","Glycerolipids"
"HMDB45360","Triradylcglycerols","Glycerolipids"
"HMDB45361","Triradylcglycerols","Glycerolipids"
"HMDB45362","Triradylcglycerols","Glycerolipids"
"HMDB45363","Triradylcglycerols","Glycerolipids"
"HMDB45364","Triradylcglycerols","Glycerolipids"
"HMDB45365","Triradylcglycerols","Glycerolipids"
"HMDB45366","Triradylcglycerols","Glycerolipids"
"HMDB45367","Triradylcglycerols","Glycerolipids"
"HMDB45368","Triradylcglycerols","Glycerolipids"
"HMDB45369","Triradylcglycerols","Glycerolipids"
"HMDB45370","Triradylcglycerols","Glycerolipids"
"HMDB45371","Triradylcglycerols","Glycerolipids"
"HMDB45372","Triradylcglycerols","Glycerolipids"
"HMDB45373","Triradylcglycerols","Glycerolipids"
"HMDB45374","Triradylcglycerols","Glycerolipids"
"HMDB45375","Triradylcglycerols","Glycerolipids"
"HMDB45376","Triradylcglycerols","Glycerolipids"
"HMDB45377","Triradylcglycerols","Glycerolipids"
"HMDB45378","Triradylcglycerols","Glycerolipids"
"HMDB45379","Triradylcglycerols","Glycerolipids"
"HMDB45380","Triradylcglycerols","Glycerolipids"
"HMDB45381","Triradylcglycerols","Glycerolipids"
"HMDB45382","Triradylcglycerols","Glycerolipids"
"HMDB45383","Triradylcglycerols","Glycerolipids"
"HMDB45384","Triradylcglycerols","Glycerolipids"
"HMDB45385","Triradylcglycerols","Glycerolipids"
"HMDB45386","Triradylcglycerols","Glycerolipids"
"HMDB45387","Triradylcglycerols","Glycerolipids"
"HMDB45388","Triradylcglycerols","Glycerolipids"
"HMDB45389","Triradylcglycerols","Glycerolipids"
"HMDB45390","Triradylcglycerols","Glycerolipids"
"HMDB45391","Triradylcglycerols","Glycerolipids"
"HMDB45392","Triradylcglycerols","Glycerolipids"
"HMDB45393","Triradylcglycerols","Glycerolipids"
"HMDB45394","Triradylcglycerols","Glycerolipids"
"HMDB45395","Triradylcglycerols","Glycerolipids"
"HMDB45396","Triradylcglycerols","Glycerolipids"
"HMDB45397","Triradylcglycerols","Glycerolipids"
"HMDB45398","Triradylcglycerols","Glycerolipids"
"HMDB45399","Triradylcglycerols","Glycerolipids"
"HMDB45400","Triradylcglycerols","Glycerolipids"
"HMDB45401","Triradylcglycerols","Glycerolipids"
"HMDB45402","Triradylcglycerols","Glycerolipids"
"HMDB45403","Triradylcglycerols","Glycerolipids"
"HMDB45404","Triradylcglycerols","Glycerolipids"
"HMDB45405","Triradylcglycerols","Glycerolipids"
"HMDB45406","Triradylcglycerols","Glycerolipids"
"HMDB45407","Triradylcglycerols","Glycerolipids"
"HMDB45408","Triradylcglycerols","Glycerolipids"
"HMDB45409","Triradylcglycerols","Glycerolipids"
"HMDB45410","Triradylcglycerols","Glycerolipids"
"HMDB45411","Triradylcglycerols","Glycerolipids"
"HMDB45412","Triradylcglycerols","Glycerolipids"
"HMDB45413","Triradylcglycerols","Glycerolipids"
"HMDB45414","Triradylcglycerols","Glycerolipids"
"HMDB45415","Triradylcglycerols","Glycerolipids"
"HMDB45416","Triradylcglycerols","Glycerolipids"
"HMDB45417","Triradylcglycerols","Glycerolipids"
"HMDB45418","Triradylcglycerols","Glycerolipids"
"HMDB45419","Triradylcglycerols","Glycerolipids"
"HMDB45420","Triradylcglycerols","Glycerolipids"
"HMDB45421","Triradylcglycerols","Glycerolipids"
"HMDB45422","Triradylcglycerols","Glycerolipids"
"HMDB45423","Triradylcglycerols","Glycerolipids"
"HMDB45424","Triradylcglycerols","Glycerolipids"
"HMDB45425","Triradylcglycerols","Glycerolipids"
"HMDB45426","Triradylcglycerols","Glycerolipids"
"HMDB45427","Triradylcglycerols","Glycerolipids"
"HMDB45428","Triradylcglycerols","Glycerolipids"
"HMDB45429","Triradylcglycerols","Glycerolipids"
"HMDB45430","Triradylcglycerols","Glycerolipids"
"HMDB45431","Triradylcglycerols","Glycerolipids"
