"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
NA,42,137,574,NA,362,87199,327,913,1463,607,191,1005,NA,NA,4288,NA,3360,3377,3579,2857,NA,47,2251,NA,52,20025,NA,NA,824,NA,464,NA,NA,211,447,1158,NA,NA,NA,NA,7654,15160,13073,2864,452,45841,20,NA,6582,43361,NA,NA,682,13955,432,NA,2509,1690,174,NA,204,8273,1725,2527,2917,1940,72623,7820,NA,42,46,NA,3513,3435,1541,5560,21070,17407,975,NA,23929,NA,76,479,555,305,150,130,NA,2746,6003,1592,10137,2461,2455,NA,564,241,28283,391,NA
20,NA,50,254,106,321,184,256,287,1109,701,NA,154,13,8,665,29,1394,69,197,92,54,37,42,27,NA,92,40,NA,8,43,186,41,11,44,14,1256,2174,1394,594,7,808,441,2283,200,10,122,NA,9,161,26,40,29,675,81,519,1150,136,1649,230,801,849,1181,36,787,252,196,308,401,NA,77,NA,225,503,43,200,850,63,198,190,NA,90,14,NA,9,71,19,NA,78,NA,162,253,13,NA,198,221,53,43,227,508,289,14
85,74,NA,NA,69,3624,334,251,NA,1589,5628,2181,373,NA,NA,313,NA,2012,918,51,74,66,63,43,NA,403,7532,1405,NA,575,821,573,NA,1084,158,NA,2710,10582,11171,NA,81,6188,5669,3665,1611,NA,1966,495,NA,2665,955,146,2112,NA,7133,836,1523,1514,6166,860,23687,1917,2352,6984,1907,6956,1394,3403,167,52,NA,12689,456,67,12114,387,675,7331,2201,2754,NA,735,NA,72,NA,NA,62,NA,NA,458,524,2851,62,1396,5012,2296,NA,NA,447,8457,430,1492
208,1808,1679,4065,2917,2282,NA,5683,6223,12847,11535,2088,3621,1059,1497,9162,801,35379,2267,157,3050,1603,340,2256,1132,829,2071,2120,232,3750,2544,3993,3697,9978,2849,1136,15109,246194,11266,16571,5197,3244,294,12643,54,116,NA,NA,831,NA,4118,5693,30181,10410,598,20684,52213,5919,97720,16620,55686,16663,12129,862,4990,3554,8005,667,5385,1130,1626,14815,9057,8823,6226,6465,3652,NA,118,3835,692,264,2200,968,4658,6007,2005,253,841,765,5004,5370,NA,NA,4360,NA,3727,1546,4336,5689,2652,4486
348,386,1346,2044,3393,266010,117,418634,2383,5572,4711,1562,4410,654,1605,4039,1577,15924,1643,1229,3370,1176,989,1264,2002,1337,1307,2279,629,1991,1746,3677,3408,2567,83098,2293,9974,12386,691223,8434,2282,8161,2202,14847,800,288,313,517,84,2939,1747,6481,24058,6087,476,5179,26040,1855,23746,10926,24389,4679,6385,403,3291,1118,5624,522,2373,697,768,28555,2679,5938,989,3725,3796,226,2293,3643,256,53,509,1691,2958,1890,918,373,629,1558,1081,4478,377,385,2133,821,1496,1415,1396,2372,826,1374
22548,8355,19623,24012,8886,1899123,2224004,19807,56035,710558,775778,7280,14667,778,5259,29715,612,3368349,20384,44573,186982,4059,16855,61705,2060,3604,3467091,1289,2056,34564,13069,4931,2177,6325,5703,85041,2494476,31969,5267545,6184,71475,7551404,6402816,10467992,1479747,15388,5226762,9996,4143,3866211,492268,1465,3912,22462,7016861,9290,8006,192832,13992,629989,7707,40951,1594450,1310718,25972,3807807,2503,4448507,217717,2262,27525,4916288,10088,87379,3836312,36142,526593,4692197,1825318,459783,5995,2632711,7780,27538,17784,13576,16282,3720,17203,3020,21473,470291,24897,2935197,2599480,2603146,71710,75019,145032,4502824,1256797,13781
428,NA,225,530,NA,71820,86372,429,1559,26999,28527,23,314,NA,NA,604,NA,131682,564,1122,6415,NA,375,1737,NA,NA,132388,NA,NA,1044,127,NA,NA,NA,NA,2615,97171,850,203486,60,2454,293674,247130,393922,56222,156,201275,123,NA,147981,17510,NA,NA,494,274831,31,NA,6347,144,23159,52,1131,58725,50575,508,146486,NA,172750,7892,NA,600,188491,39,2556,144629,387,19915,177762,69236,16826,27,101193,NA,777,376,38,196,NA,125,NA,314,18062,504,113671,95774,99941,2266,2335,4764,179543,47811,NA
641,NA,1533,NA,NA,116551,1978,NA,8655,37292,55542,NA,2341,56,764,5384,80,187667,3601,7553,8720,256,2288,11636,367,389,6768,71,NA,2883,NA,639,NA,NA,762,NA,171524,4064,270127,735,6449,188610,27172,162185,153587,NA,76074,NA,NA,105897,27121,NA,392,NA,35438,757,NA,163,787,71254,2474,4702,114634,178805,3936,10196,NA,20125,34884,NA,6365,231554,1652,13269,169452,5046,54134,7857,2978,48,NA,3464,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,NA,4923,31853,5171,NA,NA,NA,176315,113151,2473
2957,487,2104,520,1243,NA,67,NA,NA,4489,1110,3338,2102,1923,1978,560,509,1058,382,1249,2544,4491,892,3434,2166,21,NA,577,4747,NA,NA,NA,1882,8644,69,4658,69,1509,NA,223,299,NA,NA,31,171,1428,NA,105,1754,NA,2111,1012,71,7091,223,NA,75,654,227,383,546,1515,44,NA,NA,181,180,NA,55,135,382,NA,5581,1682,NA,13345,29,262,2324,441,544,190,774,686,4626,55608,25,126,308,561,351,1116,46,40,NA,NA,NA,2187,993,182,79,3262
16380,49492,7824,49641,276034,53634,38721,50559,26334,189020,44906,26270,238341,7082,29126,74462,503,223117,4777,17512,131717,62649,7719,11502,3766,7154,70026,4378,12300,36080,41831,170387,7745,32968,11902,8129,247815,253444,146714,383974,16778,241664,193233,289015,26187,5013,51547,6302,9034,103972,9090,247993,34735,283693,215795,57408,97452,14079,215650,59091,65585,71567,16678,139594,425473,66100,10763,107907,6573,9043,2999,260976,12625,11835,200525,138555,180299,56274,63578,95029,3997,66320,7533,2370,53935,8820,8977,3173,613,5759,39825,45668,8552,13790,307131,663231,4933,6556,14418,888549,8428,19988
