"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
1680,56,NA,13500,NA,83515,224115,14418,12559,34498,480,8987,2462,NA,516,21899,134,1403,81,9,NA,221,3,247,1439,309,12338,NA,268,866,NA,1982,NA,85,2412,572,679,21239,11829,1,NA,129639,87917,138514,NA,359,17817,NA,8468,NA,2400,52035,NA,185,1107,14633,11234,40105,49,19,44,118,NA,22055087,706,667935,267241,21934,18704,1057,NA,870589,52210,16211,121118,214531,62,29687,8363,7057,223,22231,540,347,NA,NA,6711,NA,NA,249,4127,1192,NA,NA,6665,83819,171,0,1364,4986,6649,11
169,289,NA,7910,NA,49647,906315,1129,18094,358,1617,242,186,31,NA,202,2933,NA,12182,452,3173,35,NA,3622,469,NA,47329,NA,NA,10302,55,11437,NA,100,19183,NA,33760,433671,212,NA,4606,1252504,277927,NA,370675,687,468521,55,NA,180484,185,1609,NA,NA,1280830,21282,9204,13613,18713,NA,NA,1308,90572,1063727,11154,1450022,41589,604881,45793,NA,4591,53424,1848,116567,4279837,8613,5558,2157967,20053,1024,914,21537,1693,267,416,NA,1428,NA,2862,31,22988,NA,NA,4012,480953,361044,NA,484,6360,207819,1850,NA
NA,NA,2,1,5,5707,15915,60,1439,84480,417,119,10,87,9,1189,142,6446,1,48,346,NA,227,0,1,1,42287,1,6,320,351,1198,93,318,77,NA,8404,1676,45865,NA,NA,13921,7416,1150,124,0,24381,568,1,14015,0,2251,0,NA,59501,4892,11,700,NA,117034,2,0,2622,26417,15387,30530,5890,39096,89,259,NA,24905,120,5,43849,30504,21608,14455,15001,30248,NA,113,729,293,NA,NA,17,NA,0,139,254,4605,1,20072,88926,9682,677,2,59,4210,7730,6
2758,1777,54,5348,1413,89674,11147,9044,12692,39719,5447,3687,8372,6248,10040,4660,8693,76534,630,10017,5555,8932,13517,4642,2636,4509,4939,1444,8576,13616,5218,5018,26699,2619,13200,3175,15647,8440,30811,16962,2293,5840,29825,69849,12466,1380,4746,6608,6773,281413,10758,22133,7328,2568,16342,13725,20139,4749,10683,16738,17097,8180,72,379336,376773,23147,47148,216896,11848,8273,4381,28921,6806,15411,68299,26914,432,14328,77493,16665,1892,11604,4723,6091,1936,5740,7925,4279,7750,3877,3201,5019,617,27726,42337,128020,3562,11802,14598,25564,324,173
3529,5078,451,4692,2472,64049,29438,15072,20857,37391,15493,3787,10883,4761,8855,8785,8664,23270,87,14887,71373,29422,10591,5060,7837,8968,17459,14388,8632,20233,13453,23432,30763,2940,21648,9048,9473,8784,41174,13445,1845,16404,72896,70178,17558,1947,16863,7407,5797,108406,7683,32510,2734,2745,39944,17092,36129,4554,12759,124465,14093,6424,184,15959,13908,18412,37425,55012,34197,6663,7887,46347,20924,12447,59059,18967,1621,12925,46601,29980,1659,19618,7522,19004,8243,5792,7627,3924,7453,11588,15826,4236,649,19396,119386,226368,1111,4222,2960,87864,1278,NA
NA,384,NA,44582,911,419028,54091,169650,4715,95083,2632,3546,79,NA,NA,1398,NA,264136,698,284,622,NA,0,61,3939,NA,7658,NA,NA,NA,295,5864,NA,154,NA,NA,28615,1666,238055,1889,794,22288,14538,609330,19055,3295,5240,1373,4609,30606,3255,17271,NA,40914,64937,32147,192,1755,NA,107700,397,4719,3934,29495,42353,44944,48390,26561,1223,NA,1903,10870,1461,857,25022,7051,963,80593,857866,2250528,290,890477,1461,155,NA,130,538495,6202,596,1402,631,108268,11107,996873,159753,33146,24030,5288,1163168,27429,2772,1476
39,76,41,NA,NA,43,70025,NA,475,1258,NA,367,126,184,NA,458,158,1447,44,62,614,46,11,40,267,122,8120,164,70,214,444,355,NA,652,147,NA,333,NA,NA,NA,117,58250,NA,NA,24446,369,128301,NA,NA,107071,NA,3017,72,362,337159,382,142,358,NA,4384,NA,192,661,182104,16075,43,13859,96822,51,209,71,1182,475,1702,218454,5300,1714,97083,94626,4671,97,204421,1975,14,NA,40,20971,106,50,10,414,13082,1484,186934,95,156871,142,NA,1321,22182,NA,977
2372,765,1339,108,NA,24371,75076,NA,10133,NA,49720,NA,9804,2197,NA,64662,310,1239,4718,NA,NA,NA,NA,21521,1212,1807,14278,1475,NA,4341,2949,321,NA,833,4897,2804,97,12387,3011,NA,1399,61679,11148,NA,31698,2481,16094,4261,3368,3143,4201,1451,NA,NA,11043,390,NA,84845,18873,NA,NA,246,3108,24403,NA,21878,7414,77868,65924,7525,886,47050,17506,2124,213313,43378,5028,88382,4070,1443,2158,9153,17358,1974,650,1989,2595,1339,1282,1541,44573,9506,2772,630,9049,35835,NA,744,1432,42270,2929,NA
11926,5198,9377,23092,3085,1091993,64897,86081,73993,649770,5309,11531,7399,15203,2687,37591,7569,1153791,9250,4362,40910,14469,17348,6416,107638,15332,66052,12907,7728,16967,11456,207609,7603,15857,7105,11905,329338,15519,1325878,7254,16960,64934,1140621,1206253,24202,33222,81015,9842,24262,1143891,105498,30371,2819,37410,90454,70160,14963,26347,3120,422772,1689,23981,2037,99935,388648,166748,379472,359852,3534,24734,15366,29837,13789,5410,377494,108177,24655,NA,739909,567716,9861,156937,4533,11710,9506,4458,304980,33277,4858,8885,4100,44106,19149,133194,598925,1014088,11577,2536,138286,320982,29963,9420
NA,NA,NA,2711,437,16365,25012,30637,7254,11816,160,1442,NA,0,2452,12721,230,24483,NA,18,7813,NA,NA,NA,6749,NA,16208,NA,208,36,NA,17614,823,NA,136,NA,44173,2572,4813,528,933,26045,31012,8857,5307,363,15196,NA,NA,17602,9868,2008,608,43998,65693,18143,84,4768,5909,15171,1034,786,161,49585,29330,45156,11489,11279,625,104,566,6157,3359,1034,64690,15634,3752,21240,48383,71864,NA,44482,NA,3,NA,NA,23042,NA,NA,42,NA,3898,958,31916,30756,33845,906,86,30232,31005,11574,3105
2769,16109,3589,20427,451,NA,1026,92,18522,358,65363,20242,2150,9870,37532,41737,1592,NA,113977,2717,5503,1346,7226,7810,26606,9350,NA,514013,14779,15457,820,7425,2562,3280,4709,25946,873,223,20788,9888,15374,NA,NA,147,NA,9233,10,236245,8542,404,5883,NA,973,2431,166,11276,154600,2102,1774,4819,4362,3751,NA,568,25,1503,7305,NA,28272,32826,5062,530163,8495,744,143,8403,NA,488,45,16774,25327,NA,269198,11867,17555,15431,5259,18284,85668,18717,11430,2549,6605,3431,6773,544,NA,66236,3883,3869,2448,995
6184,25273,1344,564721,3278,2959911,1199185,274936,1553715,2202440,950417,12850,425793,5851,16662,624429,91607,1654665,5861,4408,9503,10343,14442,68819,3155,3160,238666,110,3908,153761,622286,8605,70534,6378,2161758,387,164796,64171,443387,46652,1470,710511,1479192,182155,354202,1232,770587,8187,7489,1031455,24288,2045685,10695,5628,330466,973736,1164829,296557,717781,19616,19958,331601,7797,962798,73196,529593,2168943,3490762,2456255,5740,19409,3633853,3806421,87557,3771102,768104,152636,1714511,1871988,33172,3307,1506738,90644,3833,726,172730,11322,612,11247,7352,682369,11459,738,669,319545,1540032,8938,8932,6292,1902730,25745,5452
528,509,626,37289,NA,204902,82218,13028,98589,143709,64948,NA,26422,2696,66,40774,6392,109072,2509,NA,NA,526,817,5514,2609,206,13632,NA,897,12694,40026,NA,1412,105,126798,NA,10326,2819,26924,878,138,42443,92999,7442,23669,1596,54343,NA,2959,59985,1400,126991,6136,NA,18452,58737,63963,16518,43223,254,267,20600,NA,53870,3704,38824,123548,230712,162080,5914,108,229767,250420,3372,243713,49800,9339,103959,112437,1170,NA,107235,8167,NA,NA,11332,443,NA,381,NA,41705,399,NA,NA,22038,104796,NA,NA,NA,124206,296,1211
4065,35734,418,327444,5156,5462476,3224066,119993,3073358,681967,1240754,15076,879233,3898,13634,571146,32783,4295222,3763,6733,10794,6869,6938,101672,3098,1513,535987,93,9625,337521,1477345,7364,57577,6438,4224336,393,274909,48946,237274,23790,2118,1736832,4308503,166918,576863,9644,1808006,19289,2963,2527599,3698,2146012,5578,8094,1448548,1273182,278392,416836,1222002,15439,12742,170555,11248,2539792,10555,573894,3567968,9195862,4574005,13831,3562,5263116,6546236,130225,9595143,591829,685509,4940909,3255872,18752,5565,2268322,292097,1134,94,13260,11814,728,2256,5830,1246888,1245,543,1277,402828,1084972,15830,4267,5737,4292365,6596,878
7,85,NA,2136,123,13978,8585,273,8232,2638,7843,926,3352,109,8,3268,664,4230,NA,190,866,26,421,NA,41,NA,208,3,290,5074,6220,224,2174,802,9311,2,33,414,NA,858,68,5757,4664,209,3868,8,4960,NA,37,1503,231,6602,108,NA,3221,8662,14682,2886,5660,67,1255,893,NA,6605,903,5238,9443,13907,20402,5,190,8893,15084,1260,14855,6790,228,4648,8616,1187,NA,3281,412,203,15,358,4102,15,483,597,3672,98,11,292,618,6498,36,NA,1885,12600,2711,NA
411,5539,704,8123,NA,NA,173,NA,6320,NA,23456,7860,406,3505,12446,15468,142,NA,42659,1140,1733,293,1877,3654,10153,3071,NA,201957,7099,4244,146,2677,500,91,1537,8640,NA,0,8657,3615,5775,11,NA,NA,NA,3707,99,76763,3260,NA,1675,NA,NA,704,80,3486,54033,763,319,1214,744,1182,NA,NA,NA,150,2639,NA,10403,2847,1497,205452,2708,87,293,2857,NA,NA,NA,6410,8490,NA,111585,4007,7630,4895,1925,7016,34513,6520,4557,1207,2417,1057,1516,NA,1143,23901,1093,2281,202,71
44386,23079,27784,50893,26714,82446,15267,226255,64261,566276,29030,46279,82235,37429,73847,262638,70944,66983,24230,37842,259092,44725,76037,29163,114271,39636,51670,11263,35636,56064,65877,69725,196037,342418,82726,36663,365500,63872,103613,112517,70146,44592,902711,686522,7488,26129,2976863,27326,40828,2821024,89735,526980,51252,47578,14412,120931,62813,69921,96233,396889,52668,365780,1234,15861,70741,53420,111204,887153,74104,98122,293087,229919,72068,92372,87271,266017,76039,731,49766,66232,20843,42577,43326,10850,27278,357346,81145,36811,25230,29902,198162,74374,28684,90661,165322,328375,105539,20111,45096,179063,13199,4370
165,75,112,NA,NA,NA,148,22188,1268,51815,328,2360,3635,27,NA,26307,NA,NA,NA,81,17170,NA,3290,166,1429,121,797,NA,33,21,2370,2928,11309,15565,1066,117,31827,518,248,1844,3770,5446,76669,50934,NA,NA,328842,NA,NA,229636,1494,37871,321,1106,1113,3614,NA,2982,3232,26901,512,29537,NA,1126,773,1655,3782,88429,7169,272,27034,17863,933,3492,5781,22916,6540,2185,NA,947,NA,NA,762,23,NA,37024,3147,144,NA,NA,16741,179,NA,6834,12910,30001,400,NA,NA,11202,NA,NA
NA,2089,NA,24,23,NA,NA,NA,55,NA,NA,NA,727,1174,725,NA,156,NA,NA,1470,356,103,142,NA,3736,7031,32,371,8555,1556,2526,NA,7193,2106,29,14995,30,503,1532,109,1554,2672,606,NA,NA,3831,2232,857,9875,95,NA,213,267,19,NA,NA,2381,NA,43,NA,6636,NA,NA,NA,32,NA,526,NA,NA,261,1444,9032,273,71,1066,27,18576,NA,100003,263,2281,NA,1508,6589,1996,443,587,2290,NA,1372,NA,NA,1813,NA,NA,NA,20731,NA,NA,NA,41,1729
573848,234629,225145,1177757,983459,31152955,14582225,7693371,7436109,25004885,913353,1315433,1433936,409397,1015710,4841290,239863,36664493,375901,315588,4775114,471696,760030,419863,2811092,227023,11290044,286965,265508,330605,1138344,15646672,1685289,467869,331926,176745,23443545,2161907,34848858,727823,920577,16777640,52924556,37916074,15134279,838034,21269254,624817,1303099,45843288,2350412,5666494,686173,2579565,18284468,8704776,1134768,2875212,413355,23269379,938651,1224538,702006,20388355,29866637,24896188,21735035,40046944,871840,201646,2290533,9036752,1611459,488393,44952771,9310094,6559220,839164,35882910,22586274,399904,19312610,219561,405683,224499,352922,19115790,1139664,140790,398128,330500,4543215,478411,26597195,33435956,47607735,1202572,448203,12566224,23046404,4793490,1405845
263473,125726,85727,1947610,1783486,54224865,26742349,14406762,13442347,44702727,1567505,2125666,2521997,486005,645817,8571528,116912,64825192,600995,357569,8466382,353925,941542,629199,4768020,155522,20867546,138931,179393,244501,1909798,27995514,2421975,439136,482530,170049,45681207,3679048,62842702,1157244,1400061,29130825,94254286,65995618,29264589,870725,37749935,610993,2107938,80160569,4415881,9483451,941692,4411956,32890422,15410355,1419226,5122819,586685,41830879,1518258,1869649,1418558,37427301,52656260,45679731,37695396,72236601,1579977,264360,4024404,17181164,2731025,618515,76905544,16922161,11722317,1590561,62194762,39802018,359758,39072254,369722,369399,113585,352243,33706164,1003531,148749,382383,473513,8007464,494229,48828331,58347093,81941841,1974342,653152,22829718,42427445,8684972,2424470
271,245,NA,4553,4273,818407,127081,73450,83992,537180,3976,4961,5862,1032,1341,34423,1,1047653,315,152,35760,NA,1471,1373,43587,7,92039,193,NA,208,4726,282460,6602,199,NA,72,428922,12525,1156476,2850,3183,171560,1263598,988809,170876,740,266058,732,5018,1352582,14040,40577,949,14916,196946,78873,1495,15521,778,481159,5131,3841,2488,229266,578687,479173,440177,850286,4142,2543,12089,110505,7481,564,939872,97893,46832,2868,781736,564490,442,287361,732,183,1639,736,396570,974,NA,NA,NA,34922,743,457162,751970,1172375,4472,1050,191931,476134,25789,4988
1092,73,119,5284,4149,893528,125039,54764,76938,659330,3078,6347,7341,100,3369,28864,NA,1189914,323,280,37872,202,1636,97,24026,97,101385,282,NA,245,5408,263760,8143,179,216,NA,337108,14187,1035066,2439,3621,155958,1336522,1084088,121190,483,197546,557,8360,1520906,12496,42021,1367,14935,168391,79591,3102,20176,608,524322,1545,3439,1321,213085,567574,508820,450864,934420,2882,NA,9775,96882,8060,408,1148641,91899,41500,3467,936182,620043,281,290843,NA,NA,62,NA,384433,1032,NA,116,NA,30830,564,440682,1019312,1330860,6426,718,145401,612270,41633,5583
643,NA,NA,11824,12180,625264,219040,113537,117030,511101,7915,11594,15754,958,2624,60143,NA,759013,2484,1518,68372,117,3722,3060,39585,NA,177628,NA,92,NA,12719,276743,15072,1816,870,106,428193,24744,808137,6513,8245,238314,1086413,770731,236226,1201,334380,2399,13827,974253,28625,72764,3637,29800,295129,127280,4135,37231,1822,467427,8435,8848,7140,333885,553192,482384,394000,829592,8283,210,27314,155551,16052,2206,845068,147173,80059,10399,693011,467189,781,399421,957,708,NA,994,368210,1401,NA,630,861,61887,1450,494302,671276,947914,14464,2262,202343,449444,65750,12958
16092,3371,2323,112746,105253,4768621,1796834,1080669,847605,3595364,101537,142127,145717,30740,49006,610390,4782,6206517,40648,18227,522077,15273,56776,42600,254478,8081,1233682,7687,7300,18639,114049,2330995,127825,21078,24091,7730,4007635,260927,5202731,62983,84344,1902074,6667326,5500507,2389195,25707,2944220,34905,143019,7849074,274345,543829,49451,312168,2244966,965103,40257,326820,34718,2999161,102086,104576,98138,2200889,3917360,3314524,2676524,5398091,111528,12688,276696,1078863,154582,29627,6755350,971711,846175,90430,5405864,2946278,21508,3073496,20357,24139,4308,23178,2406355,28840,6550,20312,24017,547252,33073,3513311,5083450,6648290,105911,45299,1889011,3809156,477948,124442
1030,534,4395,2864,1969,60047,73774,42612,39036,67650,1885,3310,3809,6418,10027,22773,3392,74746,1564,2134,18881,7642,2262,2013,15209,3743,59378,2235,4643,5489,2540,68409,4232,846,406,3081,109377,7089,52059,1242,1685,92945,97741,40211,93438,1762,124335,1849,5158,114724,14518,16899,1705,9535,101329,44235,2547,9414,498,73967,2607,3874,1651,111455,108319,99191,55809,114495,1623,14538,7386,47895,5542,588,97883,50045,29278,3460,89486,49523,2420,100542,3186,897,2228,285,41201,2760,3059,841,78,25411,3792,130985,86169,97972,3507,3021,69340,82125,16216,1248
10352,2533,2674,34922,32155,1050446,506954,265581,252785,842955,24924,42356,45699,8693,18858,161445,2207,1225699,9338,6578,161566,7527,17095,10018,82192,2550,395515,4175,2858,5413,36316,541071,47336,7666,7808,1712,830108,70798,1133524,20364,25441,583837,1698711,1215744,537393,11555,738509,13407,37669,1578312,69264,172723,14875,87400,654215,290317,16660,97735,9880,802139,25990,28822,22589,708292,1046691,859019,744018,1387097,27325,3487,76027,296564,45418,11852,1568279,316796,218483,26634,1193248,764213,7206,675870,5122,7983,3225,7623,632656,14520,1877,5799,5117,154500,10949,930145,1137116,1581387,35804,11530,426465,793812,159574,39033
769,531,679,8385,8063,243161,135691,72141,63775,211999,6260,8767,11036,1330,2811,40990,990,300781,2552,1160,38657,123,2918,2019,19360,894,97554,672,777,1238,9274,133973,11109,584,929,745,230971,16884,273161,4315,5659,138416,416509,282539,142289,1903,183779,1940,9145,388412,19378,42903,3129,19935,153620,73623,3755,23156,2054,199027,6568,6068,5977,183764,248118,222162,174982,340765,6556,6249,19630,82951,10006,1677,353201,77891,56510,6597,282091,192951,855,189624,847,2287,139,862,145001,1357,451,731,601,34934,1730,238515,273643,377979,8050,2843,111578,199554,41293,9670
71,1,8,2832,3169,60478,69986,44719,32369,40410,2322,2048,1837,6,1,20385,754,34707,167,549,18582,NA,1249,812,4791,166,53476,8,311,204,2011,51894,3936,6,134,1,80961,7717,22145,2058,1253,75033,64898,14908,78584,163,101532,2097,2968,57777,11006,21990,256,10305,81119,35944,505,9282,979,55591,2885,2556,1232,98591,69595,73760,37505,71111,3143,52,7519,37646,10299,1403,59260,35560,33248,1267,58542,22991,75,78915,345,438,143,NA,25711,102,766,4,NA,23152,2,92987,49233,45195,5440,1118,47120,56196,16674,2056
7519,2878,6894,45557,41658,428584,501136,323264,208549,361835,43580,62928,63275,17710,24952,209956,6352,474604,18362,11159,191951,5965,27421,20586,69361,8273,385952,6140,6752,14432,50137,404383,62904,8326,10485,8459,686691,118328,306876,28451,37964,501394,627003,324985,652799,14478,758086,14559,40987,624006,89163,176743,21951,122296,577064,273527,22284,126680,18288,375539,48846,46788,34948,653059,542599,494697,305327,626971,53000,40578,122347,186945,74482,13785,578532,287333,301497,42475,484931,266603,13476,230536,11805,12144,5206,9585,265505,13021,4455,10525,10343,202836,18955,616034,516593,550952,49828,21562,366179,471368,215630,57116
84565,34406,28971,388517,391365,2286178,3906980,2124981,1572676,2346807,311209,432967,514907,103972,190158,1604226,34556,2734318,138639,79187,1430019,77229,188388,150932,584496,38547,3051492,46568,32830,66399,406195,2265320,511004,86378,94448,37917,3753751,751846,2372184,248956,314009,3582982,4072525,2439498,3993866,116744,4562869,140766,427830,3688590,760672,1433212,180680,916392,4114263,1978785,165335,1011656,129683,2429872,338715,349488,354722,4513080,3479609,3313062,2056620,4172581,367155,68787,871850,1854663,504260,140576,3988238,2096862,1998663,358181,3156232,1648709,90562,3820344,79096,103605,37426,93427,1649964,126038,66079,81015,89341,1385621,123796,4231782,3072170,3739064,404897,152840,2260829,2534033,1685463,502214
NA,NA,0,124,453,7549,760,329,2442,491,66,NA,135,7,10,242,1,NA,NA,1,1365,NA,55,NA,1892,18,7486,0,NA,1,107,1246,1326,NA,NA,0,66,170,4852,103,85,13776,30975,866,298,NA,1838,NA,3,1334,127,2523,NA,531,842,349,NA,2133,NA,5710,26,241,NA,6397,9857,18942,14706,10458,NA,16,176,10024,130,0,1478,5494,402,75,NA,6897,NA,438,NA,NA,NA,NA,17591,NA,NA,NA,NA,2165,NA,15655,15964,20541,458,NA,336,415,901,351
NA,NA,NA,149138,290,56422,9925,47572,2465,16797,1407,1849,85,NA,NA,861,NA,105261,NA,1608,107,NA,NA,NA,9093,NA,1388,NA,NA,NA,NA,2887,89,NA,366,NA,22623,1972,20409,642,NA,14660,14190,77821,2228,5204,2000,3399,2775,12105,3283,18942,106,28983,7190,39815,950,998,366,26841,1761,2511,NA,8808,7749,13643,12723,21607,NA,NA,391,11429,2599,1699,10192,3755,1414,19254,108473,333733,105,27867,350,94,NA,NA,385508,3569,604,2198,751,56371,13574,298370,37195,18036,40060,680,274355,9490,1339,99
6578,3502,4085,27740,7540,171257,33067,73674,44345,302353,7792,7923,12472,7483,24504,17552,7216,565571,2000,3716,20389,4559,12755,3519,96185,5155,50055,3879,5442,9116,6528,99046,13386,4333,5859,2094,181020,12334,411659,24892,10230,30436,579211,563228,21210,14226,51314,7639,14052,666027,29722,117850,7368,19195,24018,124503,29513,14002,7374,335499,18469,12704,818,32900,195142,109672,234845,269420,3655,7562,10199,87489,18834,7035,164525,70731,48540,NA,300784,409905,10789,57364,1316,5942,4414,4405,243687,18482,8239,9881,5529,36400,6244,83513,236112,408520,12285,3649,86184,149599,17962,7645
NA,3234,NA,55,NA,150274,54165,378,61817,7813,59616,4,34983,NA,13,78678,9473,NA,712,5,37,NA,41,32276,NA,NA,11518,NA,NA,10678,1931,1434,14,104,136154,NA,13,23971,871,NA,1634,181230,29350,301,7766,921,15887,NA,NA,1260,728,NA,34,14,173303,4579,17625,41137,5608,35,34,126,12788,101079,NA,25461,62530,62064,99205,NA,NA,342,118847,5938,270103,85126,1609,80948,26273,25159,NA,46728,565,NA,NA,259,47,NA,37,596,910432,3806,NA,NA,70780,90321,216,14,7079,339154,NA,2
909,182,492,13150,13583,884375,257892,35023,21679,1569876,590,2442,12,366,386,12717,656,1097994,472,537,16773,75,401,365,15573,922,22986,825,424,1325,1103,24896,1957,862,1912,508,334845,5257,2100599,NA,1887,59521,783591,1241458,13122,213,114163,45,339,1059083,29916,9291,42,1124,115833,21333,1005,331,10,814910,1182,1369875,1804,317203,1086618,144771,472010,756363,16507,744,4692,291577,532,373,747584,130303,37096,115441,810105,386307,142,337620,783,538,166,11,95078,58,181,1202,446,5296,641,162939,257887,664505,3890,5995,928,91802,6845,3919
NA,4967,503,29218,NA,122643,43724,7577,68248,95953,48259,NA,16738,1,NA,21879,1079,76705,714,283,76,NA,835,582,NA,10,3717,NA,247,6016,17433,NA,NA,5511,78324,109,2762,809,27693,69234,NA,45146,61648,9315,6094,NA,37739,NA,5,39562,505,204449,NA,NA,10426,81176,42212,19166,105414,NA,NA,22187,NA,48087,23303,11764,91136,191070,171518,151,2178,225898,241807,223,110895,28389,11857,25971,141705,26575,NA,28601,3253,NA,NA,824,NA,NA,NA,NA,26926,85,50,NA,21333,62307,NA,202,NA,104535,601,NA
NA,3889,NA,NA,NA,113650,42265,1744,41873,7024,41542,NA,25133,NA,NA,63350,8330,NA,1881,NA,62,NA,41,24083,NA,NA,9621,NA,NA,6974,3588,3023,NA,1169,98853,36,NA,18261,1665,60,3858,142981,26063,1590,8306,2711,11882,47,NA,2367,NA,NA,NA,NA,127803,5884,13611,29115,6295,NA,59,35,12461,76945,513,19186,42370,44307,73343,NA,83,828,87762,7029,212367,60586,2190,59718,17263,17291,38,32055,2223,NA,NA,1388,NA,NA,408,2789,536415,6069,NA,NA,54661,71317,NA,NA,8010,259795,NA,NA
5276,4866,4198,2190,714,55151,54001,2117,54987,1700,18432,1591,16450,4555,15169,11483,5607,17094,5900,3943,3659,6739,4921,16209,3221,6859,1862,1921,7102,10903,27578,990,23249,11968,41849,4597,565,2631,16317,23983,1567,28486,24775,4738,1986,4387,35501,4242,6996,7527,9350,90004,3364,1247,27451,66975,88065,16381,36199,980,385,3189,NA,48771,5243,3358,50324,131532,34994,8244,1471,40743,35262,78,74167,12509,14475,11342,40022,24787,2356,15883,8900,2890,1853,5081,4415,3588,3571,7017,11505,10190,4910,154,14632,54813,3736,2201,85,31252,675,139
14821,43868,6485,156390,8119,2153691,457031,134930,49100,4177057,7458,9661,8312,21837,17541,22829,9037,3107324,36217,6754,42057,3283,33379,7234,34325,31317,30256,7566,11204,19830,17920,15648,25367,322823,28340,55098,256849,28889,982417,3848,13924,117928,2340718,4651703,24469,10154,192979,11677,12456,1933840,87988,152788,17447,13584,355396,45701,17808,4492,3959,2960896,44488,2586676,5001,642072,1908951,26062,225282,1397020,38484,57312,23132,793223,40689,54312,1269564,245944,94451,258539,1451900,1004813,33741,896383,9974,10267,10111,6495,184825,17446,52921,16881,27165,15449,33214,393531,725113,1138992,22576,13744,12278,19326,21923,20744
NA,NA,NA,16242,NA,246174,50864,13956,3490,468050,NA,NA,NA,79,NA,210,NA,360439,NA,29,1416,NA,NA,NA,1779,37,1766,NA,NA,2,512,766,461,31,740,52,26510,2411,110776,NA,NA,12220,272886,522679,607,4,21847,NA,111,231372,7177,14046,NA,634,39331,2913,NA,NA,NA,312277,1894,299277,NA,75795,222277,1445,20741,157287,2863,179,598,92114,3370,4223,146986,24975,9161,28317,160644,103529,272,104106,441,187,NA,NA,16305,NA,NA,NA,NA,323,400,42757,85627,128038,518,392,293,261,960,669
1399,334685,3538,1195075,61,1336347,18530,356,1123175,78,752842,40245,417,454,2948,406865,3147,8533,242,1760,294,1151,3301,31,3624,3503,35688,941,1564,6455,711,328,3536,3171,797,995,312,677,1378,1819620,345,215,NA,1062,2855,2942,130,1340,5299,46588,4812,1010,1287,434,285,706,3684,13377,660,364,1558,1573682,NA,615,834775,1132474,8405788,6417,88449,9005,234,1360,2490813,1703,4086,1304,NA,203,99,1628,1015,680680,2153,435,553,19,7620,793,86,2998,153,20970,265891,93,2233,1080,2003,94957,1576,2304,NA,29
28,14821,282,33929,14,461036,307948,8754,272574,69347,171417,50,85756,25,137,93824,3030,470021,131,285,536,2323,619,9014,80,185,43835,3,85,47077,115792,8414,7631,4104,258398,63,24876,9903,42132,62673,135,242102,504262,3329,46635,166,152079,3336,126,152730,397,568733,57,7,191730,261390,54458,68713,377234,53,21,69370,714,354389,30481,25210,299797,1319009,530651,370,10,657077,629227,13533,466108,49542,70890,201302,404532,76983,9,69918,25472,1,5,3862,250,95,269,2861,116936,684,29,123,79035,127967,106,45,331,456347,2932,NA
NA,1465,NA,35,NA,41338,15415,286,15223,2349,12523,NA,10799,NA,NA,20796,2904,NA,299,NA,NA,NA,NA,9159,NA,NA,4267,NA,NA,1897,1150,850,NA,291,38398,NA,NA,6370,1346,NA,1440,49967,9844,634,2155,1118,4460,NA,NA,783,NA,NA,NA,NA,48405,2383,5481,10491,1957,NA,NA,NA,2754,27479,112,7112,13369,16530,23614,NA,NA,313,29440,2521,73714,19753,440,24356,6725,6851,NA,11342,607,NA,NA,167,NA,NA,42,572,164592,2029,NA,NA,21097,26253,NA,181,2084,81163,NA,NA
25251,15313,7620,20162,20306,82915,21509,41471,39464,129586,15404,16599,14213,42613,50095,26892,14288,210301,9618,16363,29149,41773,22558,24736,118748,17803,24400,15811,17822,45519,13487,97296,21788,22507,26019,10891,109090,21320,96336,42945,21939,58386,668425,178133,26562,23679,29873,35732,20144,409810,24704,134299,20892,26626,11991,135969,51497,21009,15201,125194,23296,28147,141,60842,60658,55405,145232,368047,7713,13686,17709,110075,33439,15597,195173,64421,31369,3259,253816,299224,21781,23557,14045,36204,17721,7142,391600,29120,12931,20246,9698,46592,38760,182147,98787,463743,15897,4705,60310,135939,24284,14437
